Parameter,Mean,-1sigma,+1sigma,16th,50th,84th
rp,0.14375629366290366,-0.00032385209207219656,0.00033566370862325723,0.1434259920792054,0.1437498441712776,0.14408550787990085
t0,59958.2472685302,-3.340284456498921e-05,3.3538934076204896e-05,59958.2472350847,59958.24726848755,59958.24730202648
inc,89.59016840220194,-0.14167879498413072,0.2037720436775885,89.42544693806332,89.56712573304745,89.77089777672504
a,18.030363268124752,-0.10761638998150502,0.09972325786625902,17.92818290892181,18.035799298903314,18.135522556769573
u1,0.06488036200081533,-0.01743571196282241,0.01995129979710561,0.04624009847641827,0.06367581043924068,0.0836271102363463
u2,0.3262441750918847,-0.08741560173551699,0.11908707540317703,0.22153920105939118,0.30895480279490817,0.4280418781980852
c0,1.0070572438790042,-1.8535992814205926e-05,1.8665404079465375e-05,1.0070386479021776,1.0070571838949918,1.0070758492990712
c1,-0.0014440479133564154,-0.00017370561709544432,0.00017259260298977427,-0.0016173868609391468,-0.0014436812438437024,-0.0012710886408539282
ypos,0.0033171597751152256,-0.005053434963456565,0.005036764065961161,-0.0017292489035066333,0.003324186059949932,0.008360950125911093
ywidth,-0.0018116041374915761,-0.01363184750319861,0.013396958828282303,-0.015368473207502885,-0.0017366257043042754,0.011660333123978028
scatter_mult,5.825539193359685,-0.11140319755316064,0.11569218442549367,5.7120676871619125,5.823470884715073,5.939163069140567
