Parameter,Mean,-1sigma,+1sigma,16th,50th,84th
rp,0.14378793665064782,-0.00021834024612166214,0.0002209325305266019,0.14356799924001926,0.14378633948614092,0.14400727201666752
t0,60118.44888122209,-2.105488965753466e-05,2.1302046661730856e-05,60118.448860064134,60118.448881119024,60118.44890242107
inc,89.62699483130224,-0.10401977861026523,0.1468964083137081,89.50379871615391,89.60781849476417,89.75471490307788
a,18.09608728009367,-0.07080022871449998,0.072090456961444,18.026469838362367,18.097270067076867,18.16936052403831
u1,0.07199317025641712,-0.012460896929655858,0.013567915807569414,0.058993559279030654,0.07145445620868651,0.08502237201625593
u2,0.2367871542751538,-0.04948865270504818,0.059859898704826386,0.1820274148610653,0.23151606756611348,0.29137596627093987
c0,1.0078848176370163,-1.3325552377541072e-05,1.3354924509600963e-05,1.0078714817684469,1.0078848073208244,1.007898162245334
c1,-0.00166254746129471,-0.00013833228171331513,0.0001360990984679547,-0.0018001446285302895,-0.0016618123468169744,-0.0015257132483490197
ypos,-0.008560751753640471,-0.00583207762492657,0.005846905524727376,-0.014386182161760012,-0.008554104536833442,-0.002707199012106067
ywidth,0.01678716907789411,-0.01864676360027219,0.018704647528756002,-0.0018806219499713298,0.01676614165030086,0.03547078917905686
scatter_mult,4.575226896943688,-0.09042242123615729,0.09346735331358769,4.483248320029671,4.573670741265828,4.667138094579416
