Parameter,Mean,-1sigma,+1sigma,16th,50th,84th
rp,0.14614956558633868,-0.001844474874103691,0.00153765455937796,0.144441503430718,0.14628597830482168,0.14782363286419964
t0,2460794.0843600426,-0.00020755361765623093,0.00020735245198011398,2460794.084180041,2460794.084387595,2460794.0845949473
inc,89.49349920883897,-0.3577269788723356,0.32103022113335555,89.15783289244837,89.5155598713207,89.83659009245406
a,18.248199015516104,-0.3974271149619284,0.30159384182181626,17.896544278686584,18.293971393648512,18.59556523547033
u1,0.28749693740063903,-0.10636818835590345,0.21918302063259953,0.12917201252563998,0.23554020088154343,0.45472322151414296
u2,0.49606846923760683,-0.22853505159128812,0.2971446020791946,0.24401471063426922,0.47254976222555733,0.7696943643047519
c0,1.0015955991318344,-4.3190048985231044e-05,4.37294535180488e-05,1.0015522671547497,1.0015954572037349,1.001639186657253
c1,-6.249773838501116e-05,-0.00010398642189489213,0.00010396913029404276,-0.00016639346513083644,-6.240704323594431e-05,4.156208705809845e-05
ypos,-0.0014408956326832495,-0.09885196908596074,0.09980183623864554,-0.10063331517179554,-0.0017813460858348007,0.09802049015281074
ywidth,0.04933351288634393,-10.058364084977336,9.93907270173657,-9.972431362665025,0.0859327223123102,10.025005424048882
scatter_mult,1.01896319890206,-0.02242370223105694,0.02310564846575014,0.9961767095042746,1.0186004117353316,1.0417060602010817
