T_mid,Uncertainty,Label,Reference,type,Epoch,Valid,T_mid_pre,Residual
2457584.329897,3.2e-05,K2,2017AJ....153..205D,transit,0,True,2457584.3298858283,1.1171679943799973e-05
2457904.73315165,4.65414486825e-05,HST,This work,transit,56,True,2457904.733190066,-3.841612488031387e-05
2457910.45465204,4.58126887679e-05,HST,This work,transit,57,True,2457910.454677642,-2.5602057576179504e-05
2458579.86858,0.0004288,TESS-I&W,Ivshina & Winn 2022,transit,174,True,2458579.868723996,-0.0001439959742128849
2458591.3117,0.0003547,TESS-I&W,Ivshina & Winn 2022,transit,176,True,2458591.3116991473,8.526258170604706e-07
2459958.747268488,3.3538934076204896e-05,JWST,This work,transit,415,True,2459958.747229734,3.875419497489929e-05
2459964.4687521686,1.1687225196510552e-05,JWST,This work,transit,416,True,2459964.4687173096,3.485893830657005e-05
2460107.505874115,9.756411600392312e-06,JWST,This work,transit,441,True,2460107.5059067016,-3.2586511224508286e-05
2460118.948881119,2.1302046661730856e-05,JWST,This work,transit,443,True,2460118.948881853,-7.338821887969971e-07
2460130.3919121413,2.6637637347448617e-05,JWST,This work,transit,445,True,2460130.3918570043,5.5137090384960175e-05
2460776.9199578585,0.0002028350718319,TESS,This work,transit,558,True,2460776.9199530557,4.802830517292023e-06
2460794.084387595,0.0002075536176562,TESS,This work,transit,561,True,2460794.0844157827,-2.818787470459938e-05
