T_mid,Uncertainty,Label,Reference,type,Epoch,Valid,T_mid_pre,Residual
2457584.329897,3.2e-05,K2,2017AJ....153..205D,transit,0,True,2457584.329857944,3.905594348907471e-05
2457904.73315165,4.65414486825e-05,HST,This work,transit,56,True,2457904.7332112696,-5.961954593658447e-05
2457910.45465204,4.58126887679e-05,HST,This work,transit,57,True,2457910.454699599,-4.7559384256601334e-05
2458579.86858,0.0004288,TESS-I&W,Ivshina & Winn 2022,transit,174,True,2458579.868804518,-0.00022451812401413918
2458591.3117,0.0003547,TESS-I&W,Ivshina & Winn 2022,transit,176,True,2458591.311780159,-8.015893399715424e-05
2459958.747268488,3.3538934076204896e-05,JWST,This work,transit,415,True,2459958.7472455115,2.297665923833847e-05
2459964.4687521686,1.1687225196510552e-05,JWST,This work,transit,416,True,2459964.4687322984,1.9870232790708542e-05
2460107.505874115,9.756411600392312e-06,JWST,This work,transit,441,True,2460107.505900578,-2.6463065296411514e-05
2460118.948881119,2.1302046661730856e-05,JWST,This work,transit,443,True,2460118.9488739246,7.1944668889045715e-06
2460130.3919121413,2.6637637347448617e-05,JWST,This work,transit,445,True,2460130.391847254,6.488757207989693e-05
2460776.9199578585,0.0002028350718319,TESS,This work,transit,558,True,2460776.9198124316,0.00014542695134878159
2460794.084387595,0.0002075536176562,TESS,This work,transit,561,True,2460794.0842709364,0.00011665839701890945
